#serial real imag abs
0.005125 19.695623 -5.217748 20.375045
0.005150 26.242649 6.997490 27.159556
0.005175 -2.779532 -5.014503 5.733327
0.005200 16.234669 -14.001182 21.438227
0.005225 40.250580 -20.730007 45.275184
0.005250 26.322355 -7.976159 27.504281
0.005275 34.146442 4.212913 34.405351
0.005300 -6.363088 -5.047402 8.121894
0.005325 27.230946 -1.359648 27.264868
0.005350 23.618950 -10.303957 25.768708
0.005375 -7.535666 -22.350128 23.586320
0.005400 39.245304 37.264149 54.118486
0.005425 8.129677 7.726206 11.215432
0.005450 17.570385 11.698220 21.108453
0.005475 11.430904 3.359942 11.914478
0.005500 -0.062519 -18.649513 18.649618
0.005525 -20.256649 26.805307 33.598457
0.005550 -6.819870 9.190022 11.444087
0.005575 41.399818 16.356327 44.513755
0.005600 24.794594 -16.472828 29.767868
0.005625 18.086311 9.936673 20.636185
0.005650 -9.109215 -13.475767 16.265734
0.005675 -6.558148 -19.743843 20.804534
0.005700 8.051371 34.962444 35.877530
0.005725 46.359112 -6.836440 46.860474
0.005750 0.317235 24.743477 24.745510
0.005775 19.763519 -17.655172 26.500977
0.005800 18.907370 -25.894022 32.062268
0.005825 -10.131551 -39.798561 41.067916
0.005850 21.041901 -2.438635 21.182741
0.005875 -16.422655 -2.354170 16.590531
0.005900 4.449771 -13.672635 14.378505
0.005925 -12.767515 -8.725067 15.464030
0.005950 -7.349064 -24.134888 25.228982
0.005975 7.897163 -4.744284 9.212677
0.006000 6.173487 -1.870250 6.450564
0.006025 11.291681 19.570864 22.594707
0.006050 -19.652796 -2.968637 19.875744
0.006075 7.538858 -17.812557 19.342223
0.006100 1.796582 -18.143536 18.232269
0.006125 2.699757 -9.178521 9.567337
0.006150 12.611598 13.882820 18.755935
0.006175 -24.222309 8.064059 25.529382
0.006200 23.232601 -2.164443 23.333208
0.006225 -7.767671 20.191504 21.634082
0.006250 -32.069927 7.357944 32.903184
0.006275 -23.064976 21.928303 31.825203
0.006300 23.642405 6.666191 24.564231
0.006325 16.956387 -16.547998 23.692937
0.006350 -12.714009 -1.721244 12.829992
0.006375 26.284622 -8.164730 27.523521
0.006400 -87.505058 -93.059898 127.739106
0.006425 -10.134141 -13.032038 16.508629
0.006450 9.856547 -0.667802 9.879144
0.006475 33.711216 -39.677761 52.065063
0.006500 0.642006 9.406384 9.428267
0.006525 43.221485 -30.803558 53.075004
0.006550 3.607121 -6.126680 7.109679
0.006575 3.381340 -2.370249 4.129352
0.006600 20.807224 13.462280 24.782526
0.006625 -3.591099 27.830503 28.061235
0.006650 -7.590519 32.966675 33.829242
0.006675 24.321568 -2.217515 24.422449
0.006700 40.150848 -33.102089 52.036899
0.006725 -9.515482 9.659654 13.559252
0.006750 -27.368879 12.082603 29.917299
0.006775 -1.401831 -6.997084 7.136127
0.006800 -31.878366 20.453848 37.875983
0.006825 19.343006 10.150255 21.844440
0.006850 1.745309 0.020008 1.745424
0.006875 13.874131 -18.097815 22.804000
0.006900 -3.252172 -8.196878 8.818471
0.006925 2.383713 -19.050688 19.199240
0.006950 24.581869 15.884377 29.267417
0.006975 -21.120115 -23.524652 31.614373
0.007000 -6.984692 12.154505 14.018484
0.007025 -2.355569 -5.327016 5.824587
0.007050 -8.346828 -2.217919 8.636476
0.007075 -5.438536 8.392497 10.000584
0.007100 -13.140652 6.618648 14.713369
0.007125 18.721413 -5.054914 19.391840
0.007150 13.818098 -0.123977 13.818654
0.007175 -1.916403 -30.132698 30.193577
0.007200 19.526363 -5.019206 20.161133
0.007225 -6.577033 25.542404 26.375591
0.007250 13.269680 5.262746 14.275185
0.007275 -17.206932 -11.902178 20.922245
0.007300 -6.846089 2.750978 7.378131
0.007325 -17.374889 30.296108 34.924790
0.007350 -4.380940 -25.898815 26.266732
0.007375 -6.557616 33.908817 34.537084
0.007400 -27.592993 4.689825 27.988706
0.007425 13.442417 -6.050268 14.741246
0.007450 7.642206 -11.796382 14.055530
0.007475 -35.612316 -38.259472 52.268771
0.007500 -27.319702 -37.192589 46.148183
0.007525 -42.315014 -19.123648 46.435702
0.007550 18.857651 -0.263841 18.859496
0.007575 -4.911048 3.155562 5.837462
0.007600 3.833108 -23.682550 23.990746
0.007625 7.110843 -21.558729 22.701165
0.007650 -1.003087 -37.645748 37.659111
0.007675 3.466365 29.334230 29.538327
0.007700 3.476090 -19.192575 19.504824
0.007725 18.438641 19.290508 26.685336
0.007750 -18.836674 -25.259405 31.509646
0.007775 17.415438 19.102755 25.849811
0.007800 -3.348427 2.356308 4.094405
0.007825 16.678701 14.581194 22.153787
0.007850 -47.010059 8.097323 47.702332
0.007875 -16.399607 -5.046121 17.158393
0.007900 -44.613140 12.096140 46.223900
0.007925 9.794947 7.538616 12.360085
0.007950 31.245085 -0.325529 31.246780
0.007975 12.002874 -14.007371 18.446557
0.008000 31.930237 -6.295311 32.544908
0.008025 -6.811280 -5.164917 8.548094
0.008050 22.288620 12.832432 25.718746
0.008075 -4.401277 22.497812 22.924283
0.008100 -0.723480 -12.210479 12.231893
0.008125 10.600256 20.816719 23.360249
0.008150 0.773879 -1.488015 1.677223
0.008175 -9.235550 35.611984 36.790064
0.008200 -37.207832 -6.383239 37.751403
0.008225 -3.932055 -25.711733 26.010657
0.008250 -12.691266 -21.076290 24.602402
0.008275 2.207521 -15.378546 15.536178
0.008300 -43.397430 21.257860 48.324253
0.008325 -37.389866 -2.473063 37.471565
0.008350 -37.782879 16.829147 41.361409
0.008375 -22.188368 -1.292094 22.225957
0.008400 0.815890 -1.810634 1.985969
0.008425 -4.650954 27.446865 27.838134
0.008450 13.892144 5.990183 15.128581
0.008475 -2.989355 5.718434 6.452653
0.008500 3.817050 4.458455 5.869216
0.008525 19.673258 13.278456 23.735090
0.008550 -13.761521 -19.936275 24.224668
0.008575 16.304611 -10.388144 19.332714
0.008600 -9.702619 17.971550 20.423453
0.008625 -0.144206 -2.094124 2.099083
0.008650 -6.830684 23.711807 24.676063
0.008675 4.923167 20.525850 21.108010
0.008700 20.572823 16.164957 26.163847
0.008725 15.183080 -2.814091 15.441665
0.008750 16.109276 9.423801 18.663247
0.008775 -21.289005 4.048542 21.670543
0.008800 -18.527592 12.036793 22.094254
0.008825 -6.883044 -32.912697 33.624722
0.008850 7.332093 -7.342367 10.376413
0.008875 -35.055981 -0.577163 35.060731
0.008900 3.171699 7.092472 7.769352
0.008925 -23.551847 -17.329273 29.240267
0.008950 1.502550 -13.563749 13.646720
0.008975 -1.353743 -16.374752 16.430615
0.009000 10.630193 -6.273921 12.343544
0.009025 7.966598 49.287876 49.927560
0.009050 4.804696 13.426744 14.260524
0.009075 18.309052 4.600011 18.878068
0.009100 6.239033 -8.529406 10.567701
0.009125 28.202850 -16.072313 32.461053
0.009150 3.627275 -4.725321 5.956995
0.009175 21.927839 21.206749 30.505021
0.009200 -0.937086 36.980366 36.992238
0.009225 6.612392 0.233928 6.616529
0.009250 21.391592 -8.415170 22.987285
0.009275 11.366367 14.375793 18.326422
0.009300 53.123463 2.792076 53.196785
0.009325 -4.500301 -11.139812 12.014496
0.009350 -19.764473 -11.661195 22.948156
0.009375 -60.449402 4.459712 60.613687
0.009400 -37.417915 -11.125803 39.036954
0.009425 -9.434169 13.956084 16.845647
0.009450 -16.406990 -21.140518 26.760247
0.009475 17.856926 -8.228866 19.661741
0.009500 -32.569645 -0.427433 32.572450
0.009525 -21.259497 -8.760353 22.993694
0.009550 -15.682072 0.000703 15.682072
0.009575 39.004318 4.229037 39.232914
0.009600 79.607246 70.926376 106.620187
0.009625 11.771770 10.482186 15.762321
0.009650 -1.908750 1.474799 2.412128
0.009675 20.939125 1.264805 20.977290
0.009700 12.533440 9.310242 15.613062
0.009725 -18.479111 20.020084 27.244840
0.009750 19.121645 3.867923 19.508925
0.009775 2.050398 7.543506 7.817200
0.009800 -9.738045 -23.937914 25.842857
0.009825 24.774891 -29.766489 38.727756
0.009850 -8.264793 -24.172712 25.546562
0.009875 -4.985512 -21.004517 21.588077
0.009900 1.233819 -17.500769 17.544208
0.009925 24.390089 18.461466 30.589249
0.009950 24.829002 4.050930 25.157293
0.009975 14.905948 -20.526863 25.368078
0.010000 -12.956475 -10.727545 16.821132
0.010025 -12.459227 4.352671 13.197654
0.010050 -22.853304 7.446651 24.035934
0.010075 -22.269526 3.753868 22.583695
0.010100 -19.280447 19.056772 27.108969
0.010125 -35.141033 -15.926259 38.581575
0.010150 -21.076168 -11.725094 24.118099
0.010175 15.507424 17.935253 23.709777
0.010200 23.222052 -14.847167 27.562693
0.010225 15.511362 -0.301228 15.514287
0.010250 1.325351 -2.048591 2.439934
0.010275 25.955635 -27.145750 37.557778
0.010300 6.291682 29.478548 30.142496
0.010325 48.411072 7.853045 49.043881
0.010350 21.099758 11.888395 24.218459
0.010375 -1.762747 -11.029910 11.169879
0.010400 26.679539 -23.036602 35.248871
0.010425 -13.579161 -29.918148 32.855580
0.010450 5.607412 -9.106201 10.694202
0.010475 6.008163 -9.077638 10.885841
0.010500 -9.040763 -8.676805 12.530855
0.010525 15.427365 -2.953960 15.707625
0.010550 -1.640970 -20.912071 20.976356
0.010575 -12.741008 -26.897774 29.762787
0.010600 18.577785 -8.739283 20.530689
0.010625 -33.091053 0.946769 33.104595
0.010650 -0.692627 21.244738 21.256025
0.010675 -7.311235 4.862546 8.780576
0.010700 15.246902 -16.310186 22.326893
0.010725 13.533671 17.694143 22.276512
0.010750 -6.045556 -24.905350 25.628601
0.010775 -9.379845 -6.743001 11.552036
0.010800 -15.194918 8.142530 17.239093
0.010825 10.162175 8.745889 13.407475
0.010850 13.502389 6.851776 15.141379
0.010875 -10.028005 -34.777546 36.194455
0.010900 34.275234 -7.408344 35.066725
0.010925 3.786368 -15.635719 16.087645
0.010950 -12.250116 25.958967 28.704239
0.010975 -18.773495 -7.360917 20.164999
0.011000 -13.218493 -30.986485 33.688140
0.011025 -8.520120 12.388975 15.035929
0.011050 17.841202 -38.032166 42.008976
0.011075 -2.617846 0.256874 2.630419
0.011100 10.670708 -5.018032 11.791719
0.011125 6.650788 -12.682813 14.320850
0.011150 -8.442033 -13.031244 15.526791
0.011175 9.895450 40.031013 41.235931
0.011200 12.155368 -12.579264 17.492594
0.011225 28.820724 38.443665 48.047365
0.011250 0.370827 1.945877 1.980896
0.011275 7.178732 -48.440552 48.969595
0.011300 -7.068729 -11.532737 13.526675
0.011325 -30.179983 -20.090742 36.255610
0.011350 -24.431261 -16.134939 29.278367
0.011375 -2.640580 -1.636306 3.106470
0.011400 7.011978 -20.606930 21.767256
0.011425 1.804006 1.365980 2.262816
0.011450 -5.882040 -20.084145 20.927763
0.011475 -0.350180 -17.609570 17.613051
0.011500 -12.745462 -7.468737 14.772570
0.011525 24.294817 -2.433793 24.416419
0.011550 -5.216886 5.323114 7.453284
0.011575 9.294929 -27.797592 29.310439
0.011600 -23.101194 -22.694771 32.383912
0.011625 1.464534 -21.802856 21.851989
0.011650 -18.566607 11.775489 21.985928
0.011675 -36.819199 -4.672784 37.114531
0.011700 -16.525391 -12.928877 20.982001
0.011725 24.073856 -5.894342 24.784952
0.011750 9.967606 8.964868 13.406044
0.011775 17.604765 -18.679102 25.667812
0.011800 3.253076 11.131864 11.597452
0.011825 11.767474 -14.952099 19.027314
0.011850 4.398613 -19.919844 20.399705
0.011875 -22.635319 -14.437428 26.847663
0.011900 -21.436352 26.927559 34.418172
0.011925 -13.177423 9.241743 16.095164
0.011950 11.058929 -4.455540 11.922741
0.011975 -30.685196 -39.256573 49.826295
0.012000 -19.792900 -2.269161 19.922549
