#serial real imag abs
0.082608 -1.717430 -3.170606 3.605871
0.082867 -1.612541 -0.180840 1.622649
0.083127 1.918936 -0.445033 1.969865
0.083386 1.012503 0.493094 1.126190
0.083645 1.438457 1.969264 2.438680
0.083905 -0.053671 -0.296135 0.300959
0.084164 5.690459 4.032926 6.974655
0.084424 3.121149 -1.342789 3.397742
0.084683 3.079273 3.774258 4.871032
0.084942 -0.076254 -5.983253 5.983738
0.085202 0.459637 4.571029 4.594080
0.085461 -1.700461 0.791627 1.875698
0.085721 2.811745 -2.681083 3.885115
0.085980 -0.896379 1.180079 1.481918
0.086239 -4.907810 0.707129 4.958491
0.086499 -2.388734 0.105612 2.391068
0.086758 2.015400 0.622917 2.109469
0.087018 0.837826 -1.240956 1.497306
0.087277 1.104559 -2.597058 2.822191
0.087536 -3.574352 -0.279365 3.585253
0.087796 1.015035 2.286389 2.501574
0.088055 -0.629714 1.592407 1.712395
0.088315 1.271392 0.422108 1.339632
0.088574 -4.979081 1.643845 5.243422
0.088833 -1.507328 1.416656 2.068563
0.089093 2.442458 3.957811 4.650792
0.089352 2.608145 1.368129 2.945199
0.089612 -4.817745 2.159486 5.279588
0.089871 0.701926 1.139139 1.338035
0.090130 2.369249 1.148479 2.632935
0.090390 2.370827 0.724057 2.478927
0.090649 -1.911853 0.731779 2.047115
0.090909 1.251313 1.872670 2.252260
0.091168 0.949938 -0.241175 0.980076
0.091427 -0.611311 3.301187 3.357311
0.091687 0.207773 -3.007266 3.014434
0.091946 -0.579271 2.578823 2.643082
0.092206 -4.018054 -1.600208 4.324977
0.092465 3.162521 2.742774 4.186209
0.092724 -2.245043 0.729609 2.360624
0.092984 0.340580 1.433852 1.473745
0.093243 4.088337 1.099607 4.233631
0.093503 0.408037 1.004045 1.083790
0.093762 0.361841 -2.282346 2.310851
0.094021 0.602322 1.165533 1.311968
0.094281 0.428380 0.409375 0.592534
0.094540 -1.201789 2.112406 2.430341
0.094800 0.192734 -1.361131 1.374709
0.095059 -1.871488 2.462702 3.093116
0.095318 0.761272 1.020574 1.273227
0.095578 -2.620835 1.097871 2.841496
0.095837 1.699633 -1.461000 2.241266
0.096097 -1.546492 3.502022 3.828289
0.096356 0.264586 0.571641 0.629904
0.096615 0.502058 1.806239 1.874716
0.096875 2.459216 2.799423 3.726193
0.097134 -3.244800 -2.846094 4.316130
0.097394 -3.074885 -0.463805 3.109667
0.097653 -0.711067 0.666497 0.974595
0.097912 3.708780 1.402105 3.964965
0.098172 1.093477 0.109973 1.098993
0.098431 0.986434 -2.684233 2.859748
0.098691 1.009104 -0.198338 1.028411
0.098950 0.715123 -0.536030 0.893716
0.099209 0.676342 -4.553754 4.603706
0.099469 -1.748598 -3.887815 4.262944
0.099728 0.300421 3.062135 3.076837
0.099988 1.840077 -2.504243 3.107591
0.100247 2.143849 0.114776 2.146920
0.100506 -0.046814 0.638293 0.640007
0.100766 0.992377 0.930155 1.360148
0.101025 0.290234 2.025552 2.046239
0.101285 -0.636576 0.568931 0.853763
0.101544 -3.492570 -1.776799 3.918553
0.101803 2.380068 -0.846001 2.525953
0.102063 5.784443 -4.060783 7.067513
0.102322 -1.361705 -3.516571 3.771009
0.102582 -2.589264 -1.989850 3.265546
0.102841 -1.254716 0.222159 1.274232
0.103100 -0.205920 -1.460327 1.474774
0.103360 1.505133 -0.180597 1.515929
0.103619 3.416816 0.436507 3.444585
0.103879 -2.247521 -2.846252 3.626638
0.104138 -0.875341 3.294641 3.408941
0.104397 -1.182577 -0.737932 1.393926
0.104657 3.879471 1.223892 4.067949
0.104916 0.148690 4.005712 4.008470
0.105176 -3.670015 -0.378653 3.689497
0.105435 0.614328 0.447763 0.760191
0.105694 0.699704 -3.513777 3.582767
0.105954 -0.500660 -3.082623 3.123016
0.106213 -2.699153 0.318407 2.717869
0.106473 -5.381076 -0.293045 5.389049
0.106732 0.776687 -1.207702 1.435892
0.106991 -0.438502 1.672119 1.728660
0.107251 1.587993 1.213351 1.998485
0.107510 -0.569662 1.588616 1.687666
0.107770 -1.108254 -0.785041 1.358130
0.108029 3.197243 4.077269 5.181359
0.108288 5.420921 0.291518 5.428754
0.108548 -1.308824 1.896674 2.304429
0.108807 -2.182477 -0.485009 2.235720
0.109067 -1.854810 -1.126725 2.170214
0.109326 1.941503 -0.851222 2.119908
0.109585 -0.028022 -2.933652 2.933785
0.109845 -1.801677 2.210443 2.851683
0.110104 -0.860116 1.164371 1.447605
0.110364 0.363636 -0.473158 0.596749
0.110623 -2.242014 1.541183 2.720638
0.110882 -1.523458 -4.946345 5.175640
0.111142 -3.606194 -6.458390 7.396988
0.111401 0.385507 2.663120 2.690877
0.111661 -3.219116 2.056310 3.819833
0.111920 -2.473149 0.644172 2.555665
0.112179 0.131010 2.125383 2.129417
0.112439 2.222673 3.042209 3.767666
0.112698 -1.251237 0.959694 1.576898
0.112958 -3.578452 -2.833594 4.564491
0.113217 3.219295 2.807551 4.271557
0.113476 1.013202 0.086547 1.016892
0.113736 -3.800039 1.858768 4.230285
0.113995 0.687003 1.925160 2.044068
0.114255 -0.587042 -1.808492 1.901384
0.114514 -0.399763 0.675011 0.784507
0.114773 -2.610005 -0.783501 2.725069
0.115033 1.241633 2.908041 3.162018
0.115292 -1.054253 -0.155238 1.065621
0.115552 -4.141011 1.968249 4.584972
0.115811 -2.433214 5.596200 6.102293
0.116070 -0.457263 -0.182730 0.492423
0.116330 -1.592376 1.191778 1.988969
0.116589 -3.425010 -1.624847 3.790887
0.116849 -0.142973 1.228581 1.236872
0.117108 1.744475 -0.108019 1.747816
0.117367 -1.273937 6.835489 6.953188
0.117627 0.223815 -1.176200 1.197305
0.117886 2.679008 -3.228753 4.195466
0.118146 3.738223 4.568515 5.903019
0.118405 -3.489187 5.854471 6.815369
0.118664 1.011029 -3.254251 3.407687
0.118924 0.642711 1.993909 2.094934
0.119183 0.973095 -2.013116 2.235967
0.119443 -2.549535 2.482350 3.558397
0.119702 3.585390 2.714236 4.496899
0.119961 -1.119758 2.312176 2.569049
0.120221 -0.242613 2.104105 2.118046
0.120480 3.236114 -1.059245 3.405060
0.120740 0.390562 0.665065 0.771265
0.120999 -0.160796 -0.378806 0.411521
0.121258 -0.311026 -2.902677 2.919293
0.121518 -4.911438 1.367458 5.098252
0.121777 -0.557935 1.686384 1.776283
0.122037 -5.209585 -0.601756 5.244224
0.122296 -0.743608 2.188697 2.311568
0.122555 -5.416462 2.256633 5.867747
0.122815 1.594119 2.477100 2.945715
0.123074 3.169153 1.263156 3.411612
0.123334 -2.132397 2.810057 3.527540
0.123593 1.975268 3.568755 4.078933
0.123852 -1.361202 0.127288 1.367140
0.124112 -0.804729 1.059185 1.330211
0.124371 1.274327 -0.136498 1.281616
0.124631 -1.498012 -0.535799 1.590949
0.124890 0.536434 -3.939285 3.975641
0.125149 -2.489075 -3.608194 4.383442
0.125409 -0.899552 0.030142 0.900057
0.125668 5.342413 0.889006 5.415876
0.125928 -5.120800 -1.489275 5.332966
0.126187 0.245036 -4.136201 4.143453
0.126446 0.929006 -1.611902 1.860452
0.126706 -0.420088 2.099146 2.140768
0.126965 -0.742535 -0.320027 0.808564
0.127225 4.519819 1.007854 4.630825
0.127484 -1.456792 -0.926582 1.726499
0.127743 0.886532 0.743711 1.157171
0.128003 -0.493823 -0.128108 0.510170
0.128262 -3.651477 2.237988 4.282742
0.128522 -0.587379 -1.416622 1.533569
0.128781 0.281727 4.441527 4.450453
0.129040 5.030199 -0.351080 5.042436
0.129300 -4.675877 2.841444 5.471529
0.129559 1.666646 1.994691 2.599327
0.129819 0.504929 0.843263 0.982877
0.130078 -4.133131 0.909811 4.232083
0.130337 0.608509 0.792376 0.999071
0.130597 -0.426027 -3.003934 3.033994
0.130856 2.562531 -2.035640 3.272674
0.131116 -0.716460 0.580242 0.921952
0.131375 3.109496 0.197749 3.115778
0.131634 -2.899272 -3.485138 4.533428
0.131894 0.094041 -0.355038 0.367282
0.132153 0.623520 0.074097 0.627907
0.132413 -0.524472 0.518390 0.737428
0.132672 0.092493 -1.620470 1.623108
0.132931 1.713782 -6.957810 7.165764
0.133191 1.063410 -3.736760 3.885128
0.133450 1.128417 -0.902867 1.445162
0.133710 -4.236618 -0.034215 4.236756
0.133969 -0.629515 -0.630578 0.891021
0.134228 -1.440577 -0.366636 1.486501
0.134488 2.818706 -0.093256 2.820248
0.134747 -4.028647 -0.296758 4.039562
0.135007 -3.210490 -0.761288 3.299516
0.135266 1.890776 3.688297 4.144703
0.135525 -4.746282 -2.378802 5.309039
0.135785 -0.221203 4.932354 4.937312
0.136044 3.280318 4.484735 5.556378
0.136304 4.473723 -4.466416 6.321635
0.136563 -0.521861 0.277410 0.591012
0.136822 -2.085319 -0.615719 2.174320
0.137082 0.036957 0.297672 0.299957
0.137341 0.752879 -0.698610 1.027075
0.137601 1.887953 -1.749348 2.573827
0.137860 0.846647 2.624564 2.757743
0.138119 4.000176 1.743629 4.363674
0.138379 -1.485892 -3.403568 3.713778
0.138638 2.133965 0.446103 2.180095
0.138898 -0.837371 -0.366358 0.914007
0.139157 -2.055491 2.386719 3.149837
0.139416 0.899770 0.730516 1.158982
0.139676 1.270545 -1.964525 2.339582
0.139935 -0.833363 -3.258683 3.363556
0.140195 -5.856131 -3.110670 6.631029
0.140454 -2.155089 1.377110 2.557507
0.140713 1.821002 -1.252364 2.210082
0.140973 -2.733645 -1.683918 3.210669
0.141232 -5.530668 1.358373 5.695039
0.141492 -3.856617 -0.361239 3.873499
0.141751 1.018670 -0.064752 1.020726
0.142010 4.925626 2.922680 5.727464
0.142270 2.811291 1.213367 3.061963
0.142529 2.918886 -1.801849 3.430241
0.142789 -3.995615 -0.201599 4.000698
0.143048 0.919746 3.162807 3.293825
0.143307 0.192929 -2.964621 2.970892
0.143567 -3.929329 3.199849 5.067412
0.143826 2.684722 0.192406 2.691608
0.144086 -2.570075 0.516726 2.621506
0.144345 1.750918 0.442029 1.805852
0.144604 -2.584661 -1.577003 3.027773
0.144864 0.609577 0.583621 0.843918
0.145123 -0.586712 4.625665 4.662725
0.145383 -2.471612 0.454333 2.513023
0.145642 -2.464708 -0.326893 2.486291
0.145901 -0.374524 0.976438 1.045801
0.146161 2.203507 3.012511 3.732381
0.146420 1.514883 -1.629987 2.225248
0.146680 -1.700492 -0.814057 1.885302
0.146939 0.110159 1.963271 1.966359
0.147198 -0.405979 1.561170 1.613094
0.147458 -1.797509 2.978306 3.478698
0.147717 3.452302 2.932692 4.529798
0.147977 -0.717663 1.680622 1.827438
0.148236 0.867102 3.569230 3.673046
0.148495 2.353469 4.262144 4.868746
0.148755 3.164952 -2.013982 3.751405
0.149014 -3.537404 0.022843 3.537477
0.149273 3.149777 -1.076679 3.328714
0.149533 0.730388 -0.590059 0.938954
0.149792 -3.797225 3.010129 4.845596
0.150052 3.937911 -0.986285 4.059544
0.150311 1.205226 5.798312 5.922245
0.150570 2.719392 -0.341707 2.740776
0.150830 -1.130009 -0.830514 1.402382
0.151089 1.056315 1.017246 1.466489
0.151349 -0.217985 1.401379 1.418232
0.151608 -2.383555 -1.223501 2.679233
0.151867 -5.165885 -0.617236 5.202629
0.152127 1.203827 -2.329942 2.622561
0.152386 -1.208105 -2.589146 2.857131
0.152646 -0.885237 0.319562 0.941151
0.152905 -1.439593 1.537050 2.105933
0.153164 -0.377774 5.145606 5.159455
0.153424 1.927896 3.257076 3.784881
0.153683 1.083148 -0.138038 1.091908
0.153943 -1.946614 2.061325 2.835201
0.154202 1.610197 -3.061360 3.458997
0.154461 -0.213328 -5.032011 5.036531
0.154721 0.917511 -0.916027 1.296508
0.154980 1.135500 2.507624 2.752733
0.155240 3.220000 2.581088 4.126792
0.155499 5.780456 -1.875172 6.077001
0.155758 1.887519 3.596449 4.061671
0.156018 -3.559563 -0.589287 3.608011
0.156277 -1.232312 -0.911337 1.532687
0.156537 3.634572 5.696990 6.757649
0.156796 -1.193263 -0.287916 1.227507
0.157055 0.963365 -7.703400 7.763404
0.157315 -3.515274 0.700309 3.584352
0.157574 0.444132 -0.411512 0.605471
0.157834 -1.497998 -0.016003 1.498084
0.158093 1.741660 -0.531380 1.820919
0.158352 -1.086118 -0.730642 1.309004
0.158612 1.511574 -0.075854 1.513476
0.158871 2.632202 -0.855225 2.767652
0.159131 1.184948 0.680475 1.366437
0.159390 3.566271 -3.218694 4.803986
0.159649 -2.574888 3.620281 4.442576
0.159909 1.754132 1.565682 2.351242
0.160168 0.295755 -1.994134 2.015947
0.160428 2.527976 -0.934879 2.695303
0.160687 -0.628249 -1.674307 1.788295
0.160946 -0.843277 -0.949027 1.269555
0.161206 0.308721 -1.469629 1.501705
0.161465 0.802931 1.342385 1.564192
0.161725 -2.452865 -0.738761 2.561701
0.161984 -3.325054 0.783693 3.416162
0.162243 0.385893 0.922353 0.999824
0.162503 -1.536295 -0.871505 1.766274
0.162762 2.565414 -0.193346 2.572689
0.163022 1.189062 -0.131265 1.196285
0.163281 -2.693289 1.619670 3.142791
0.163540 -0.921861 -0.101560 0.927439
0.163800 0.623069 1.433965 1.563480
0.164059 5.359331 3.667944 6.494324
0.164319 0.364795 -1.254099 1.306078
0.164578 0.095830 -1.672937 1.675679
0.164837 -0.238754 -0.791277 0.826513
0.165097 0.227664 -3.279938 3.287830
0.165356 -2.003612 1.670225 2.608469
0.165616 1.902895 -0.981625 2.141167
0.165875 2.435170 0.208784 2.444103
0.166134 3.835679 2.188474 4.416091
0.166394 -2.351482 1.287851 2.681050
0.166653 0.825490 0.402328 0.918314
0.166913 0.359473 -0.166684 0.396238
0.167172 0.241820 -1.876765 1.892280
0.167431 -0.080863 -3.197157 3.198179
0.167691 2.167466 3.631857 4.229456
0.167950 -1.546439 -0.614360 1.664004
0.168210 2.317559 1.729921 2.892007
0.168469 2.542997 2.320388 3.442533
0.168728 -2.044686 0.172354 2.051937
0.168988 1.516703 2.849934 3.228392
0.169247 -0.860107 0.247232 0.894934
0.169507 1.561523 0.443027 1.623154
0.169766 -0.430158 -1.156833 1.234220
0.170025 -4.488463 -0.262526 4.496134
0.170285 4.759048 -2.532031 5.390707
0.170544 1.535962 0.999389 1.832473
0.170804 2.330854 1.699333 2.884547
0.171063 1.571538 0.240265 1.589799
0.171322 1.632569 -0.810507 1.822691
